,timestamp,tvlUSD,tvlETH,BTC,ETH,DAI
492,1582502400,1177843866,4277313.672513347,1611.3988986,2971332.8334121834,86394807.23362185
493,1582416000,1116381130,4214826.631932646,1570.68556119,2862659.7497491827,85383898.12791711
494,1582329600,1125366200,4216907.857758459,1570.2169495199998,2875121.2160383863,83699878.06007478
495,1582243200,1094318769,4231213.58311101,1567.1203642399998,2854843.23345773,85170766.22165322
496,1582156800,1098735330,4230135.250635251,1563.3041469799998,2878614.439908817,85988398.00938982
497,1582070400,1249188030,4423470.361189802,1571.47992758,3139573.3225384867,85309521.42335531
498,1581984000,1211693668,4526649.985056784,1577.0536583399999,3165858.484364072,94129171.74875496
499,1581897600,1181987763,4560313.912573788,1589.0620403499997,3190488.763340355,94347908.03525233
500,1581811200,1193986346,4508330.863917838,1593.37211238,3171414.585481033,90844873.35110104
501,1581724800,1281477668,4488852.697211713,1563.7123250500001,3212919.759885897,91339283.53271028
502,1581638400,1206338806,4498410.73199836,1548.4215424200002,3210191.42860816,89595691.1998759
503,1581552000,1206241437,4539179.03589975,1547.99101722,3216319.850272825,86970102.21637432
504,1581465600,1116784611,4710382.601543717,1536.6254451599998,3234560.1786736296,84042232.73182209
505,1581379200,1052962264,4729438.842975207,1535.2175726299997,3212454.4979513637,82744133.042917
506,1581292800,1059441076,4642598.930762488,1534.05006903,3150245.4577992405,83151646.26504523
507,1581206400,1063907237,4771526.380230525,9104.032517259999,3122680.1280668327,85778594.38036229
508,1581120000,1059492947,4753434.191753779,1514.86281652,3115598.510736857,84694754.37846102
509,1581033600,1039279574,4883603.091959964,1343.40499157,3121903.339971475,81937688.02969891
510,1580947200,1012271821,4968692.980906101,1469.82188179,3137546.0851972094,78975488.8467159
511,1580860800,955500500,5053151.938230472,1472.5515901699998,3181348.7293028883,80001637.6736301
512,1580774400,940497317,4959121.1020300565,1450.8102682,3174296.508160339,75137377.44427416
513,1580688000,937939759,4978713.089866765,1442.21939622,3178916.481334609,75376296.04050036
514,1580601600,931724443,5077794.11957055,1435.34330566,3228268.0733783394,74848211.04262422
515,1580515200,914522537,5090012.450603885,1520.90775979,3228925.120739047,76076702.50184388
516,1580428800,933964898,5065984.476025168,1510.0400381499999,3223977.4403627724,76248301.6863315
517,1580342400,882795699,5080546.149861878,1498.69868412,3217071.1960183885,74282203.63901204
518,1580256000,899379986,5121753.906605924,1498.5347021899997,3224827.838653289,71853101.83707726
519,1580169600,862806687,5078320.700412006,1489.56970894,3196748.9741542344,68726931.03981823
520,1580083200,842129380,5007309.906053038,1495.4099315999997,3185858.653472939,65597683.483936265
521,1579996800,813480622,5023035.640629824,1499.13813841,3176799.2808157066,63881350.82395475
522,1579910400,810074568,4957616.695226438,1493.7100927200001,3172655.733153548,62391945.86666904
523,1579824000,813544474,4982511.477217052,1482.52360871,3181275.577716124,60319713.23229425
524,1579737600,843253073,4984943.680539133,1491.5397821799997,3179895.1550901844,60431374.17388085
525,1579651200,843469116,4977099.876084263,1488.87431443,3180271.992688487,60183575.327184916
526,1579564800,823523508,4925674.430288891,1498.27420049,3163331.0996434223,58087488.7557029
527,1579478400,832303615,4974917.005379557,1502.90400142,3154806.5628761654,64503756.855020046
528,1579392000,859374121,4926756.4123143945,1583905.6401522101,3131673.781831855,62737934.05254806
529,1579305600,847730356,4991934.730891533,1581487.68663324,3122539.675220539,64568279.07598624
530,1579219200,815987532,4961918.710854363,1557743.7147086,3121144.782166612,59040312.4412436
531,1579132800,814228961,4897912.421799808,1536888.28803651,3110199.276502105,57331340.667945094
532,1579046400,814623815,4911810.762737414,1302550.45966193,3101581.254447457,57089281.64291169
533,1578960000,737075398,5107583.660176009,1303416.79491413,3107181.7291827607,55128059.299092665
534,1578873600,719771228,4896736.022858697,1298230.5619095,3097010.856702337,53247657.61407376
535,1578787200,697090063,4875096.601160921,1275307.11925886,3093818.444951329,51270051.849016376
536,1578700800,717142355,4935597.763248451,1260868.52817551,3092481.8898392236,56814328.08712803
537,1578614400,683137630,4935965.534682082,1269882.60826661,3106140.293705224,55114413.92709794
538,1578528000,698778493,4956227.342364705,2411946.1124999598,3102117.1822855426,55914952.535859935
539,1578441600,720191680,5029622.739018087,2381272.57178461,3097668.73127561,57080845.827218734
540,1578355200,702796298,4854906.728378006,1069152.59893157,3082645.0828227126,54204657.49747562
541,1578268800,698099270,5113905.721192586,1053796.92637947,3052514.423003078,54043368.22949071
